Intensity data:
xpos	count
19.4	165
20.21	178
21.02	161
21.83	173
22.64	187
23.44	207
24.25	195
25.06	173
25.87	96
26.68	76
27.48	85
28.29	78
29.1	82
29.91	80
30.72	72
31.52	86
32.33	84
33.14	53
33.95	43
34.75	32
35.56	30
36.37	31
37.18	40
37.99	41
38.79	64
39.6	75
40.41	73
41.22	89
42.03	82
42.83	89
43.64	118
44.45	104
45.26	103
46.07	104
46.87	99
47.68	108
48.49	104
49.3	89
50.1	97
50.91	91
51.72	88
52.53	84
53.34	74
54.14	81
54.95	79
55.76	72
56.57	64
57.38	69
58.18	55
58.99	70
59.8	67
60.61	71
61.42	78
62.22	73
63.03	83
63.84	70
64.65	87
65.46	91
66.26	71
67.07	85
67.88	96
68.69	83
69.49	87
70.3	96
71.11	99
71.92	82
72.73	74
73.53	85
74.34	69
75.15	69
75.96	77
76.77	101
77.57	82
78.38	73
79.19	65
80.0	74
80.81	73
81.61	76
82.42	65
83.23	84
84.04	67
84.84	81
85.65	81
86.46	88
87.27	73
88.08	74
88.88	84
89.69	91
90.5	81
91.31	88
92.12	96
92.92	54
93.73	84
94.54	53
95.35	37
96.16	48
96.96	37
97.77	24
98.58	11
99.39	5
